code,ticker,name,industry,exchange,market,listed_date,cfi_code,benchmark,theme,region,source
6872,6872.TWO,浩宇生醫,生技醫療業,TPEX,上櫃,2025/03/07,ESVUFR,^TWII,生技醫療業,TW,TWSE_ISIN
6874,6874.TWO,倍力,資訊服務業,TPEX,上櫃,2022/12/14,ESVUFR,^TWII,資訊服務業,TW,TWSE_ISIN
6875,6875.TWO,國邑*,生技醫療業,TPEX,上櫃,2024/03/26,ESVUFR,^TWII,生技醫療業,TW,TWSE_ISIN
6877,6877.TWO,鏵友益,其他電子業,TPEX,上櫃,2023/06/16,ESVUFR,^TWII,其他電子業,TW,TWSE_ISIN
6881,6881.TWO,潤德,其他業,TPEX,上櫃,2024/05/21,ESVUFR,^TWII,其他業,TW,TWSE_ISIN
6884,6884.TWO,海柏特,資訊服務業,TPEX,上櫃,2025/12/17,ESVUFR,^TWII,資訊服務業,TW,TWSE_ISIN
6894,6894.TWO,衛司特,綠能環保,TPEX,上櫃,2023/11/29,ESVUFR,^TWII,綠能環保,TW,TWSE_ISIN
6895,6895.TWO,宏碩系統,半導體業,TPEX,上櫃,2023/08/22,ESVUFR,^TWII,半導體業,TW,TWSE_ISIN
6899,6899.TWO,創為精密,光電業,TPEX,上櫃,2024/04/08,ESVUFR,^TWII,光電業,TW,TWSE_ISIN
6903,6903.TWO,巨漢,其他電子業,TPEX,上櫃,2024/06/12,ESVUFR,^TWII,其他電子業,TW,TWSE_ISIN
6904,6904.TWO,伯鑫,其他業,TPEX,上櫃,2023/12/05,ESVUFR,^TWII,其他業,TW,TWSE_ISIN
6907,6907.TWO,雅特力-KY,半導體業,TPEX,上櫃,2026/01/29,ESVUFR,^TWII,半導體業,TW,TWSE_ISIN
6910,6910.TWO,德鴻,數位雲端,TPEX,上櫃,2025/12/11,ESVUFR,^TWII,數位雲端,TW,TWSE_ISIN
6913,6913.TWO,鴻呈,電子零組件業,TPEX,上櫃,2024/10/01,ESVUFR,^TWII,電子零組件業,TW,TWSE_ISIN
6922,6922.TWO,宸曜,電腦及週邊設備業,TPEX,上櫃,2023/11/09,ESVUFR,^TWII,電腦及週邊設備業,TW,TWSE_ISIN
6925,6925.TWO,意藍,數位雲端,TPEX,上櫃,2025/05/28,ESVUFR,^TWII,數位雲端,TW,TWSE_ISIN
6929,6929.TWO,佑全,生技醫療業,TPEX,上櫃,2024/03/28,ESVUFR,^TWII,生技醫療業,TW,TWSE_ISIN
6945,6945.TWO,圓祥生技,生技醫療業,TPEX,上櫃,2026/06/05,ESVUFR,^TWII,生技醫療業,TW,TWSE_ISIN
6953,6953.TWO,家碩,半導體業,TPEX,上櫃,2024/05/13,ESVUFR,^TWII,半導體業,TW,TWSE_ISIN
6961,6961.TWO,旅天下,觀光餐旅,TPEX,上櫃,2026/01/22,ESVUFR,^TWII,觀光餐旅,TW,TWSE_ISIN
6967,6967.TWO,汎瑋材料,電子零組件業,TPEX,上櫃,2024/09/25,ESVUFR,^TWII,電子零組件業,TW,TWSE_ISIN
6968,6968.TWO,萬達寵物,居家生活,TPEX,上櫃,2024/08/14,ESVUFR,^TWII,居家生活,TW,TWSE_ISIN
6971,6971.TWO,惠民實業,綠能環保,TPEX,上櫃,2025/10/02,ESVUFR,^TWII,綠能環保,TW,TWSE_ISIN
6982,6982.TWO,大井泵浦,電機機械,TPEX,上櫃,2024/12/18,ESVUFR,^TWII,電機機械,TW,TWSE_ISIN
6983,6983.TWO,華洋精機,其他電子業,TPEX,上櫃,2026/05/25,ESVUFR,^TWII,其他電子業,TW,TWSE_ISIN
6986,6986.TWO,和迅,生技醫療業,TPEX,上櫃,2026/06/26,ESVUFR,^TWII,生技醫療業,TW,TWSE_ISIN
6996,6996.TWO,力領科技,半導體業,TPEX,上櫃,2024/12/10,ESVUFR,^TWII,半導體業,TW,TWSE_ISIN
6997,6997.TWO,博弘,數位雲端,TPEX,上櫃,2024/12/16,ESVUFR,^TWII,數位雲端,TW,TWSE_ISIN
7402,7402.TWO,邑錡,光電業,TPEX,上櫃,2015/12/29,ESVUFR,^TWII,光電業,TW,TWSE_ISIN
7547,7547.TWO,碩網,數位雲端,TPEX,上櫃,2025/07/29,ESVUFR,^TWII,數位雲端,TW,TWSE_ISIN
7556,7556.TWO,意德士,半導體業,TPEX,上櫃,2020/10/30,ESVUFR,^TWII,半導體業,TW,TWSE_ISIN
7584,7584.TWO,樂意,文化創意業,TPEX,上櫃,2024/07/25,ESVUFR,^TWII,文化創意業,TW,TWSE_ISIN
7642,7642.TWO,昶瑞機電,電機機械,TPEX,上櫃,2025/05/22,ESVUFR,^TWII,電機機械,TW,TWSE_ISIN
7703,7703.TWO,銳澤,其他電子業,TPEX,上櫃,2024/11/13,ESVUFR,^TWII,其他電子業,TW,TWSE_ISIN
7704,7704.TWO,明遠精密,半導體業,TPEX,上櫃,2024/12/16,ESVUFR,^TWII,半導體業,TW,TWSE_ISIN
7708,7708.TWO,全家餐飲,觀光餐旅,TPEX,上櫃,2024/11/15,ESVUFR,^TWII,觀光餐旅,TW,TWSE_ISIN
7709,7709.TWO,榮田,電機機械,TPEX,上櫃,2025/02/25,ESVUFR,^TWII,電機機械,TW,TWSE_ISIN
7712,7712.TWO,博盛半導體,半導體業,TPEX,上櫃,2024/12/26,ESVUFR,^TWII,半導體業,TW,TWSE_ISIN
7713,7713.TWO,威力德生醫,生技醫療業,TPEX,上櫃,2025/02/24,ESVUFR,^TWII,生技醫療業,TW,TWSE_ISIN
